Year,Population,Male,Female,MoTP,FoTP,Annual%,GDP,"GDP %",GDP-per-capita
2000,5176209,2526845,2649364,48.88,51.18,0.208,125707000000000,5.77336,24285.5
2001,5188008,2533898,2654110,48.84,51.16,0.228,129421000000000,2.61002,24946.2
2002,5200598,2541376,2659222,48.87,51.13,0.242,139738000000000,1.70715,26869.7
2003,5213014,2548805,2664209,48.89,51.11,0.238,171274000000000,2.00378,32855.1
2004,5228172,2557589,2670583,48.92,51.08,0.29,197117000000000,3.99209,37702.8
2005,5246096,2567723,2678383,48.95,51.06,0.342,204809000000000,2.77985,39040.3
2006,5266268,2578956,2687312,48.97,51.03,0.384,216908000000000,4.02741,41188.1
2007,5288720,2591302,2697418,49,51,0.425,256053000000000,5.29934,48414.8
2008,5313399,2604763,2708636,49.02,50.98,0.466,284554000000000,0.783995,53554
2009,5338871,2618656,2720215,49.05,50.95,0.478,252497000000000,-8.07445,47294
2010,5363352,2632137,2731215,49.08,50.92,0.457,249181000000000,3.18596,46460
2011,5388272,2645901,2742371,49.11,50.9,0.464,275244000000000,2.54766,51082
2012,5413971,2660106,2753865,49.13,50.87,0.476,258305000000000,-1.39755,47710.8
2013,5438972,2673976,2764999,49.16,50.84,0.461,271285000000000,-0.901696,49878
2014,5461512,2686568,2774944,49.19,50.81,0.414,274497000000000,-0.364908,50260.3
2015,5479531,2696829,2782702,49.22,50.78,0.329,234440000000000,0.543659,42784.7
2016,5495303,2705857,2789446,49.24,50.76,0.287,240608000000000,2.81146,43784.3
2017,5508214,2743357,2794857,49.3,50.74,0.235,255017000000000,3.19241,46297.5
2018,5515525,2718009,2797516,49.28,50.72,0.133,27585000000000,1.31184,50013.3
2019,5521606,2722008,2799598,49.3,50.7,0.272,268966000000,1.27284,48711.6
2020,5530719,2727475,2803244,49.32,50.69,0.165,271234000000000,-2.77358,49041.3
